SEQUENCE,FILTER,COUNTY,JURISDICTION,POP_1990,POP_1991,POP_1992,POP_1993,POP_1994,POP_1995,POP_1996,POP_1997,POP_1998,POP_1999,POP_2000,POP_2001,POP_2002,POP_2003,POP_2004,POP_2005,POP_2006,POP_2007,POP_2008,POP_2009,POP_2010,POP_2011,POP_2012,POP_2013,POP_2014,POP_2015,POP_2016,POP_2017
1,1,Adams,Adams County,13603,13823,14063,14335,14679,15030,15323,15698,15879,16151,16428,16699,16911,17081,17489,17643,17690,17959,18214,18421,18728,18950,19050,19200,19400,19410,19510,19870
2,2,Adams,Unincorporated Adams County,6466,6698,6776,7009,7162,7303,7530,7598,7647,7815,7905,8037,8193,8324,8451,8507,8587,8682,8742,8799,8818,8960,8980,9040,9135,9085,9105,9165
3,3,Adams,Incorporated Adams County,7137,7125,7287,7326,7517,7727,7793,8100,8232,8336,8523,8662,8718,8757,9038,9136,9103,9277,9472,9622,9910,9990,10070,10160,10265,10325,10405,10705
4,4,Adams,Hatton,71,80,81,82,83,84,93,94,96,97,98,119,97,97,97,97,96,96,96,98,101,100,105,110,110,110,110,110
5,4,Adams,Lind,472,400,523,435,452,451,484,517,535,567,582,582,576,574,561,556,556,550,550,550,564,560,565,570,565,560,550,550
6,4,Adams,Othello,4638,4692,4735,4868,5033,5240,5265,5508,5614,5681,5847,5961,6062,6129,6434,6551,6523,6714,6931,7089,7364,7420,7495,7565,7695,7780,7875,8175
7,4,Adams,Ritzville,1725,1728,1730,1729,1730,1733,1733,1731,1733,1733,1736,1745,1735,1716,1707,1695,1685,1678,1681,1675,1673,1705,1695,1700,1680,1670,1660,1660
8,4,Adams,Washtucna,231,225,218,212,219,219,218,250,254,258,260,255,248,241,239,237,243,239,214,210,208,205,210,215,215,205,210,210
9,1,Asotin,Asotin County,17605,17677,17866,18124,18666,18937,19622,19943,20202,20442,20551,20650,20652,20709,20779,20939,21176,21413,21522,21593,21623,21650,21700,21800,21950,22010,22150,22290
10,2,Asotin,Unincorporated Asotin County,9871,10006,10058,10351,10521,11117,11554,11692,11739,11796,12119,12173,12238,12314,12386,12536,12744,12951,13072,13121,13143,13195,13240,13325,13460,13515,13620,13765
11,3,Asotin,Incorporated Asotin County,7734,7671,7808,7773,8145,7820,8068,8251,8463,8646,8432,8477,8414,8395,8393,8403,8432,8462,8450,8472,8480,8455,8460,8475,8490,8495,8530,8525
12,4,Asotin,Asotin,981,1039,1046,1002,1017,1072,1086,1083,1094,1081,1095,1106,1114,1120,1128,1133,1174,1189,1224,1244,1251,1255,1255,1265,1265,1260,1270,1275
13,4,Asotin,Clarkston,6753,6632,6762,6771,7128,6748,6982,7168,7369,7565,7337,7371,7300,7275,7265,7270,7258,7273,7226,7228,7229,7200,7205,7210,7225,7235,7260,7250
14,1,Benton,Benton County,112560,114439,116503,119374,123457,128359,132590,135620,137717,139498,142475,145267,148290,151933,155874,159286,162255,165096,167598,171402,175177,177900,180000,183400,186500,188590,190500,193500
15,2,Benton,Unincorporated Benton County,27849,28345,28843,29753,30254,31280,31549,32240,32751,33426,33169,33166,33493,34121,34820,34979,34854,35245,32814,32552,32639,33020,33300,33710,34020,34130,34365,35085
16,3,Benton,Incorporated Benton County,84711,86094,87660,89621,93203,97079,101041,103380,104966,106072,109306,112101,114797,117812,121054,124307,127401,129851,134784,138850,142538,144880,146700,149690,152480,154460,156135,158415
